dms_id,dms_ids.0.db,dms_ids.0.id,dms_ids.1.db,dms_ids.1.id,dms_ids.2.db,dms_ids.2.id,dms_ids.3.db,dms_ids.3.id,dms_ids.4.db,dms_ids.4.id,dms_ids.5.db,dms_ids.5.id,dms_ids.6.db,dms_ids.6.id,dms_ids.7.db,dms_ids.7.id,dms_ids_extend.0.db,dms_ids_extend.0.id,dms_ids_extend.1.db,dms_ids_extend.1.id,dms_ids_extend.2.db,dms_ids_extend.2.id,dms_ids_extend.3.db,dms_ids_extend.3.id,dms_ids_extend.4.db,dms_ids_extend.4.id,dms_ids_extend.5.db,dms_ids_extend.5.id,dms_ids_extend.6.db,dms_ids_extend.6.id,dms_ids_extend.7.db,dms_ids_extend.7.id,dms_name,dms_synonym.0,dms_synonym.1,dms_synonym.2,dms_synonym.3,dms_synonym.4,dms_synonym_extend.0,dms_synonym_extend.1,dms_synonym_extend.2,dms_synonym_extend.3,dms_synonym_extend.4
0001816,DOID,0001816,MESH,D006394,NCI,C3088,NCI,C9275,SNOMEDCT_US_2018_03_01,33176006,SNOMEDCT_US_2018_03_01,39000009,UMLS_CUI,C0018923,UMLS_CUI,C0854893,DOID,0001816,MESH,D006394,NCI,C3088,NCI,C9275,SNOMEDCT_US_2018_03_01,33176006,SNOMEDCT_US_2018_03_01,39000009,UMLS_CUI,C0018923,UMLS_CUI,C0854893,angiosarcoma,angiosarcoma,hemangiosarcoma,,,,angiosarcoma,hemangiosarcoma,,,
0002116,DOID,0002116,MESH,D011625,UMLS_CUI,C0033999,,,,,,,,,,,DOID,0002116,MESH,D011625,UMLS_CUI,C0033999,,,,,,,,,,,pterygium,pterygium,surfer's eye,,,,pterygium,surfer's eye,,,
0014667,DOID,0014667,ICD10CM,E88.9,ICD9CM,277.9,MESH,D008659,NCI,C3235,SNOMEDCT_US_2018_03_01,30390004,SNOMEDCT_US_2018_03_01,75934005,UMLS_CUI,C0025517,DOID,0014667,ICD10CM,E88.9,ICD9CM,277.9,MESH,D008659,NCI,C3235,SNOMEDCT_US_2018_03_01,30390004,SNOMEDCT_US_2018_03_01,75934005,UMLS_CUI,C0025517,disease of metabolism,disease of metabolism,metabolic disease,,,,disease of metabolism,metabolic disease,,,
0040001,DOID,0040001,,,,,,,,,,,,,,,DOID,0040001,,,,,,,,,,,,,,,shrimp allergy,shrimp allergy,,,,,shrimp allergy,,,,
0040002,DOID,0040002,UMLS_CUI,C0004058,,,,,,,,,,,,,DOID,0040002,UMLS_CUI,C0004058,,,,,,,,,,,,,aspirin allergy,ASA allergy,acetylsalicylic acid allergy,aspirin allergy,,,ASA allergy,acetylsalicylic acid allergy,aspirin allergy,,
0040003,DOID,0040003,UMLS_CUI,C0571411,,,,,,,,,,,,,DOID,0040003,UMLS_CUI,C0571411,,,,,,,,,,,,,benzylpenicillin allergy,benzyl benicillin allergy,benzylpenicillin allergy,penicillin G allergy,,,benzyl benicillin allergy,benzylpenicillin allergy,penicillin G allergy,,
0040004,DOID,0040004,UMLS_CUI,C0571417,,,,,,,,,,,,,DOID,0040004,UMLS_CUI,C0571417,,,,,,,,,,,,,amoxicillin allergy,amoxicillin allergy,,,,,amoxicillin allergy,,,,
0040005,DOID,0040005,UMLS_CUI,C0571463,,,,,,,,,,,,,DOID,0040005,UMLS_CUI,C0571463,,,,,,,,,,,,,ceftriaxone allergy,ceftriaxone allergy,rocephin allergy,,,,ceftriaxone allergy,rocephin allergy,,,
0040006,DOID,0040006,UMLS_CUI,C0570787,,,,,,,,,,,,,DOID,0040006,UMLS_CUI,C0570787,,,,,,,,,,,,,carbamazepine allergy,Tegretol allergy,carbamazepen allergy,carbamazepine allergy,,,Tegretol allergy,carbamazepen allergy,carbamazepine allergy,,
0040007,DOID,0040007,,,,,,,,,,,,,,,DOID,0040007,,,,,,,,,,,,,,,abacavir allergy,ABC allergy,abacavir allergy,,,,ABC allergy,abacavir allergy,,,
0040008,DOID,0040008,ICD10CM,Z88.1,,,,,,,,,,,,,DOID,0040008,ICD10CM,Z88.1,,,,,,,,,,,,,isoniazide allergy,INH allergy,isoniazide allergy,isonicotinylhydrazide allergy,,,INH allergy,isoniazide allergy,isonicotinylhydrazide allergy,,
0040009,DOID,0040009,UMLS_CUI,C0570646,,,,,,,,,,,,,DOID,0040009,UMLS_CUI,C0570646,,,,,,,,,,,,,lidocaine allergy,Lidoderm allergy,lidocaine allergy,lignocaine allergy,xylocaine allergy,,Lidoderm allergy,lidocaine allergy,lignocaine allergy,xylocaine allergy,
