dms_id,dms_ids.0.db,dms_ids.0.id,dms_ids_extend.0.db,dms_ids_extend.0.id,dms_name,dms_synonym.0,dms_synonym.1,dms_synonym.2,dms_synonym.3,dms_synonym.4,dms_synonym.5,dms_synonym_extend.0,dms_synonym_extend.1,dms_synonym_extend.2,dms_synonym_extend.3,dms_synonym_extend.4,dms_synonym_extend.5
A00,ICD10,A00,ICD10,A00,Cholera,Cholera,,,,,,Cholera,,,,,
A00.0,ICD10,A00.0,ICD10,A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",Classical cholera,"Cholera due to Vibrio cholerae 01, biovar cholerae",,,,,Classical cholera,"Cholera due to Vibrio cholerae 01, biovar cholerae",,,,
A00.1,ICD10,A00.1,ICD10,A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",Cholera eltor,"Cholera due to Vibrio cholerae 01, biovar eltor",,,,,Cholera eltor,"Cholera due to Vibrio cholerae 01, biovar eltor",,,,
A00.9,ICD10,A00.9,ICD10,A00.9,"Cholera, unspecified","Cholera, unspecified",,,,,,"Cholera, unspecified",,,,,
A01,ICD10,A01,ICD10,A01,Typhoid and paratyphoid fevers,Typhoid and paratyphoid fevers,,,,,,Typhoid and paratyphoid fevers,,,,,
A01.0,ICD10,A01.0,ICD10,A01.0,Typhoid fever,Typhoid fever,Infection due to Salmonella typhi,,,,,Typhoid fever,Infection due to Salmonella typhi,,,,
A01.1,ICD10,A01.1,ICD10,A01.1,Paratyphoid fever A,Paratyphoid fever A,,,,,,Paratyphoid fever A,,,,,
A01.2,ICD10,A01.2,ICD10,A01.2,Paratyphoid fever B,Paratyphoid fever B,,,,,,Paratyphoid fever B,,,,,
A01.3,ICD10,A01.3,ICD10,A01.3,Paratyphoid fever C,Paratyphoid fever C,,,,,,Paratyphoid fever C,,,,,
A01.4,ICD10,A01.4,ICD10,A01.4,"Paratyphoid fever, unspecified",Infection due to Salmonella paratyphi NOS,"Paratyphoid fever, unspecified",,,,,Infection due to Salmonella paratyphi NOS,"Paratyphoid fever, unspecified",,,,
A02,ICD10,A02,ICD10,A02,Other salmonella infections,Other salmonella infections,infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,,,,,Other salmonella infections,infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,,,,
A02.0,ICD10,A02.0,ICD10,A02.0,Salmonella enteritis,Salmonella enteritis,Salmonellosis,,,,,Salmonella enteritis,Salmonellosis,,,,
A02.1,ICD10,A02.1,ICD10,A02.1,Salmonella sepsis,Salmonella sepsis,,,,,,Salmonella sepsis,,,,,
A02.2,ICD10,A02.2,ICD10,A02.2,Localized salmonella infections,Salmonella: osteomyelitisM90.2,Salmonella: renal tubulo-interstitial diseaseN16.0,Salmonella: pneumoniaJ17.0,Salmonella: arthritisM01.3,Localized salmonella infections,Salmonella: meningitisG01,Salmonella: osteomyelitisM90.2,Salmonella: renal tubulo-interstitial diseaseN16.0,Salmonella: pneumoniaJ17.0,Salmonella: arthritisM01.3,Localized salmonella infections,Salmonella: meningitisG01
A02.8,ICD10,A02.8,ICD10,A02.8,Other specified salmonella infections,Other specified salmonella infections,,,,,,Other specified salmonella infections,,,,,
A02.9,ICD10,A02.9,ICD10,A02.9,"Salmonella infection, unspecified","Salmonella infection, unspecified",,,,,,"Salmonella infection, unspecified",,,,,
A03,ICD10,A03,ICD10,A03,Shigellosis,Shigellosis,,,,,,Shigellosis,,,,,
A03.0,ICD10,A03.0,ICD10,A03.0,Shigellosis due to Shigella dysenteriae,Group A shigellosis [Shiga-Kruse dysentery],Shigellosis due to Shigella dysenteriae,,,,,Group A shigellosis [Shiga-Kruse dysentery],Shigellosis due to Shigella dysenteriae,,,,
A03.1,ICD10,A03.1,ICD10,A03.1,Shigellosis due to Shigella flexneri,Group B shigellosis,Shigellosis due to Shigella flexneri,,,,,Group B shigellosis,Shigellosis due to Shigella flexneri,,,,
A03.2,ICD10,A03.2,ICD10,A03.2,Shigellosis due to Shigella boydii,Shigellosis due to Shigella boydii,Group C shigellosis,,,,,Shigellosis due to Shigella boydii,Group C shigellosis,,,,
