List,Syns
[2],"[['dilated cardiomyopathy 1B'], ['Congestive cardiomyopathy', 'Idiopathic dilation cardiomyopathy', 'dilated cardiomyopathy', 'Familial dilated cardiomyopathy', 'primary dilated cardiomyopathy'], ['Lentiviruses, Feline', 'Feline Lentiviruses'], ['autoimmune cardiomyopathy']]"
[1],"[['Skin Diseases, Vascular', 'Vascular Skin Diseases'], ['livedoid vasculitis', 'livedoid vasculopathy'], ['Metabolic Skin Diseases', 'Skin Diseases, Metabolic'], ['vascular skin disease']]"
"[1, 0]","[['podoconiosis'], ['Elephantiasis', 'elephantiasis']]"
[3],"[['Chronic adenoiditis'], ['Serine Endopeptidases'], ['chronic adenoiditis', 'adenoiditis'], ['Textbooks as Topic']]"
"[1, 0]","[['obsolete complex genetic disease'], ['obsolete familial hypophosphatemia', 'familial hypophosphataemia', 'Hypophosphatemia, familial']]"
"[1, 0]","[['obsolete Histoplasma capsulatum gastritis'], ['obsolete adnexal mucinous adenocarcinoma']]"
"[1, 0]","[['benign paroxysmal peritonitis', 'familial Mediterranean fever'], ['Mevalonate Kinase Deficiency', 'mevalonic aciduria']]"
[8],"[['Chromosomes, Plant'], ['Orbital Diseases'], ['X Chromosome'], ['Resistance, Disease', 'Disease Resistance'], ['orbital disease'], ['Borna Disease'], ['Monkey Diseases'], ['Barmah Forest virus disease'], ['Infant Care'], ['Pleural Diseases'], ['chromosomal disease'], ['Lassa virus'], ['thalamic disease']]"
[2],"[['congenital disorder of glycosylation type I'], ['obsolete congenital disorder of glycosylation type 2m'], ['obsolete alternating exotropia with V pattern', 'Alternating exotropia with V pattern (disorder)'], ['Glycoprotein Syndrome, Carbohydrate-Deficient', 'Congenital Disorders of Glycosylation', 'Carbohydrate-Deficient Glycoprotein Syndrome'], ['carbohydrate-deficient glycoprotein syndrome', 'congenital disorder of glycosylation']]"
"[1, 0]","[['renal-retinal syndrome', 'Senior-Loken syndrome', 'Loken Senior syndrome'], ['medullary cystic kidney', 'nephronophthisis', 'medullary cystic disease']]"
"[1, 0]","[['partial albinism-immunodeficiency syndrome', 'Griscelli-Pruni��ras syndrome', 'Ch��diak-Higashi-like syndrome', 'Griscelli syndrome'], ['oculocutaneous albinism']]"
[2],"[['obsolete nervous system heredodegenerative disease'], [""Other nervous system involvement in Chagas' disease""], ['alternating hemiplegia of childhood', 'AHC'], ['nervous system disease']]"
[1],"[['early onset absence epilepsy'], ['Balamuthia mandrillaris'], ['absence epilepsy'], ['absence seizure', 'childhood absence epilepsy', 'pyknolepsy', 'petit mal seizure']]"
[2],"[['Infections, Flavivirus', 'Flavivirus Infections'], ['metabolic acidosis'], ['Bioethical Issues'], ['Metabolic Acidosis', 'Acidosis']]"
"[1, 0]","[['Congenital biliary ectasias', 'POLYCYSTIC KIDNEY AND HEPATIC DISEASE 1', 'autosomal dominant polycystic kidney disease'], ['Meckel syndrome', 'Meckel-Gruber syndrome']]"
"[1, 0]","[['Adenoma, Villous'], ['villous adenoma']]"
"[1, 0]","[['Plesiomonas shigelloides', 'Plesiomonas'], ['Caroli disease']]"
"[1, 0]","[['Benign carcinoid tumors of the small intestine'], ['small intestine carcinoid neuroendocrine tumor']]"
"[1, 0]","[['brain meningioma'], ['Brain Chemistry', 'Chemistry, Brain']]"
[3],"[['Thoracic Diseases'], ['thoracic disease'], ['Periapical Diseases'], ['Epichlorohydrin, (S)-Isomer', 'Epichlorohydrin, (+-)-Isomer', 'Epichlorhydrin', 'Epichlorohydrin'], ['Pancreatic Diseases']]"
[1],"[['Periodic paralysis I', 'Westphal disease', 'Hypokalemic familial periodic paralysis', 'familial hypokalemic periodic paralysis', 'hypokalemic periodic paralysis', 'Hypokalemic periodic paralysis'], ['Timothy syndrome'], ['familial periodic paralysis'], ['familial hyperkalemic periodic paralysis', 'hyperkalemic periodic paralysis']]"
[6],"[['Postradiation kyphosis'], ['Postradiation scoliosis'], ['idiopathic scoliosis'], ['Other idiopathic scoliosis'], ['Postradiation scoliosis'], ['Other idiopathic scoliosis'], ['Adrenal Medulla'], ['Postradiation kyphosis'], ['Other idiopathic scoliosis, cervicothoracic region']]"
"[1, 0]","[['flat cornea', 'cornea plana'], ['Peters anomaly']]"
"[1, 0]","[['omphalocoele', 'omphalocele'], ['umbilical hernia']]"
"[1, 0]","[['fish allergy'], ['Struck by other fish']]"
"[1, 0]","[['familial benign hypercalcemia', 'FBH', 'familial hypocalciuric hypercalcemia', 'FBHH', 'FHH', 'familial benign hypocalciuric hypercalcemia'], ['calcium metabolism disease']]"
[5],"[['wet beriberi'], ['Beriberi'], ['beriberi'], ['dry beriberi'], ['Beriberi'], ['thiamine deficiency disease']]"
"[1, 0]","[['Svalbard', 'Spitsbergen'], ['amelogenesis imperfecta type 3B']]"
"[1, 0]","[['progressive pseudorheumatoid arthropathy of childhood', 'spondyloepiphyseal dysplasia tarda-progressive arthropathy syndrome'], ['Silverman-Handmaker type dyssegmental dysplasia']]"
[2],"[['Other disorders of thyroid'], ['Other disorders of thyroid'], ['thyroid lymphoma']]"
[2],"[['Tear film insufficiency', 'dry eye syndrome'], ['Dry eye syndrome', 'Tear film insufficiency, NOS'], ['xerophthalmia', 'Conjunctival xerosis']]"
[1],"[['Internuclear ophthalmoplegia'], [""Brown's sheath syndrome"", ""Brown's (tendon) sheath syndrome"", 'Brown tendon sheath syndrome', ""Brown's tendon sheath syndrome""], ['oculomotor paralysis', 'Total ophthalmoplegia', 'ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['ocular motility disease', 'eye movement disorder', 'disorder of eye movements'], ['internuclear ophthalmoplegia']]"
[1],"[['monocular esotropia'], ['Auditory Pathways'], ['Monocular esotropia'], ['crossed eyes', 'Internal Strabismus', 'Convergence in manifest squint', 'esotropia']]"
"[1, 0]","[['Mumps polyneuropathy'], ['obsolete Mumps virus infectious disease', 'Rubulavirus infectious disease']]"
"[1, 0]","[[""Richter's syndrome"", 'Richter syndrome'], ['chronic lymphocytic leukemia', 'B-cell chronic lymphocytic leukemia', 'chronic lymphatic leukemia', 'CLL', 'B-cell chronic lymphoid leukemia']]"
[3],"[['critical illness polyneuropathy'], ['polyneuropathy'], ['Other polyneuropathies'], ['meningoencephalitis', 'Meningoencephalitis'], ['neuropathy', 'peripheral neuropathy']]"
"[1, 0]","[['glucose intolerance', 'Glucose: intolerance', 'Glucose: malabsorption', 'Malabsorption of glucose'], ['Prediabetes', 'prediabetic state', 'prediabetes syndrome']]"
[1],"[['renal failure', 'kidney failure'], ['UREMIA OF renal ORIGIN', 'uremia'], ['Kidney Insufficiency', 'Renal Failure', 'Renal Insufficiency', 'Kidney Failure']]"
"[2, 1, 0]","[['Anesthesia, Spinal'], ['Neoglycoproteins', 'Glycoprotein', 'Glycoproteins'], ['basal ganglia cerebrovascular disease']]"
"[2, 1]","[['IgA glomerulonephritis', ""Berger's IgA or IgG nephropathy"", 'IGA glomerulonephritis', 'IgA nephropathy', 'Focal Glomerulonephritis'], ['Henoch-Sch@nlein purpura', 'Henoch-Sch?nlein purpura', 'Henoch-Schoenlein purpura', 'Autoimmune purpura', 'Allergic purpura'], ['hypersensitivity vasculitis'], ['Goodpasture syndrome', 'anti-GBM disease', 'anti-glomerular basement membrane disease']]"
[1],"[['Tenonitis of orbit'], ['Railroads', 'Subways'], ['Tenonitis', 'orbital tenonitis']]"
"[1, 0]","[['Cauda equina syndrome'], ['polyradiculopathy', 'Polyradiculopathy']]"
[1],"[['Myxedema'], ['Thyroid insufficiency', 'Thyroid deficiency', 'hypothyroidism'], ['myxedema']]"
"[1, 0]","[['protein-energy malnutrition'], ['Nutritional atrophy', 'marasmus', 'Nutritional marasmus']]"
[1],"[['Focal motor seizure', 'partial motor epilepsy', 'epilepsy, focal motor'], ['Tetrahymena thermophila'], ['Glitazones', 'Thiazolidinediones'], ['epilepsy, sensory-induced', 'reflex epilepsy'], ['epilepsy, visual', 'visual epilepsy'], ['focal epilepsy', 'localisation-related epilepsy', 'partial epilepsy']]"
