List,Syns
[2],"[['Other inflammatory polyneuropathies'], ['Other inflammatory polyneuropathies'], ['cefotaxime allergy'], ['Other inflammatory polyneuropathies'], ['Inflammatory polyneuropathy'], ['Inflammatory polyneuropathy']]"
"[1, 0]","[['Myelitis in diseases classified elsewhere', 'Meningomyelitis in diseases classified elsewhere'], ['obsolete Streptomyces somaliensis infectious disease']]"
"[1, 0]","[['podoconiosis'], ['Elephantiasis', 'elephantiasis']]"
"[1, 0]","[['Mevalonate Kinase Deficiency', 'mevalonic aciduria'], ['benign paroxysmal peritonitis', 'familial Mediterranean fever']]"
"[1, 0]","[['nephronophthisis', 'medullary cystic kidney', 'medullary cystic disease'], ['Loken Senior syndrome', 'renal-retinal syndrome', 'Senior-Loken syndrome']]"
"[1, 0]","[['Aland Island eye disease', 'FORSIUS-ERIKSSON TYPE OCULAR ALBINISM', 'Forsius-Eriksson syndrome'], ['Light Signal Transduction', 'Phototransduction', 'Signal Transduction, Light']]"
[1],"[['branchiooculofacial syndrome'], ['Williams syndrome'], ['electroclinical syndrome', 'electro-clinical syndrome']]"
"[1, 0]","[['Superficial foreign body of lower back and pelvis'], ['mitochondrial complex V (ATP synthase) deficiency']]"
[0],"[['proximal symphalangism', ""Cushing's symphalangism""], ['Endoscopes'], ['Examination, Self', 'Self-Examination'], ['Endoscopes, Gastrointestinal', 'Gastrointestinal Endoscopes'], ['During endoscopic examination'], ['During endoscopic examination'], ['Hemostasis, Endoscopic', 'Endoscopic Hemostasis'], ['Ego', 'Self'], ['During endoscopic examination'], ['thrombotic thrombocytopenic purpura', ""Moschcowitz's syndrome""]]"
"[1, 0]","[['obsolete artemis deficiency'], ['benign vascular tumor']]"
"[1, 0]","[['Syphilitic pericarditisSyphilitic myocarditis', 'Syphilitic pericarditis', 'Other syphilitic heart involvement', 'Syphilitic myocarditis'], ['Good syndrome', 'thymoma with hypogammaglobulinemia']]"
[2],"[['syndactyly type 2', 'synpolydactyly'], ['Simpson-Golabi-Behmel syndrome type 2'], ['2-Phenyl-Benzopyran-4-Ones', 'Flavanones']]"
"[1, 0]","[['cornea plana', 'flat cornea'], ['Peters anomaly']]"
[1],"[['punctate palmoplantar keratoderma', 'punctate palmoplantar hyperkeratosis', 'punctate keratosis palmoplantaris'], ['Phenylhydrazines'], ['punctate palmoplantar keratoderma type II']]"
"[1, 0]","[['Lupus Vulgaris'], ['Chilblain lupus']]"
"[1, 0]","[['Glial Activating Factor', 'Fibroblast Growth Factor 9'], ['nuclear protein in testis midline carcinoma', 'NUT midline carcinoma']]"
[2],"[['Hermansky-Pudlak syndrome 2'], ['Hermansky-Pudlak syndrome 1'], ['1-Phosphatidylinositol 3-Kinase', 'Phosphatidylinositol 3-Kinase'], ['Hermansky-Pudlak syndrome 9']]"
"[1, 0]","[['FBH', 'FHH', 'FBHH', 'familial benign hypocalciuric hypercalcemia', 'familial hypocalciuric hypercalcemia', 'familial benign hypercalcemia'], ['calcium metabolism disease']]"
"[1, 0]","[['lissencephaly 2', 'lissencephaly syndrome, Norman-Roberts type', 'Norman-Roberts syndrome'], ['Fura-2']]"
"[1, 0]","[['polyepiphyseal dysplasia', 'multiple epiphyseal dysplasia'], ['osteochondrodysplasia', 'Congenital anomaly of cartilage', 'Osteochondrodysplasia syndrome', 'Cartilage Development disorder', 'chondrodystrophy']]"
[5],"[['dry beriberi'], ['Beriberi'], ['Beriberi'], ['wet beriberi'], ['beriberi'], ['thiamine deficiency disease']]"
"[1, 0]","[['mandibulofacial dysostosis, Guion-Almeida type', 'mandibulofacial dysostosis with microcephaly'], ['cortisone reductase deficiency', 'CORTRD']]"
[0],"[['Angioplasty, Balloon, Laser-Assisted', 'Laser-Assisted Angioplasty', 'Angioplasty, Transluminal, Percutaneous, Laser', 'Laser Balloon Angioplasty', 'Laser-Assisted Balloon Angioplasty', 'Percutaneous Transluminal Laser Angioplasty', 'Angioplasty, Laser-Assisted, Balloon'], ['Meier-Gorlin syndrome 6'], ['Meier-Gorlin syndrome 4'], ['Meier-Gorlin syndrome 3'], ['Meier-Gorlin syndrome 5']]"
[1],"[['Tear film insufficiency, NOS', 'Dry eye syndrome'], ['Conjunctival xerosis', 'xerophthalmia'], ['Tear film insufficiency', 'dry eye syndrome']]"
"[2, 0]","[[""Brown's sheath syndrome"", 'Brown tendon sheath syndrome', ""Brown's (tendon) sheath syndrome"", ""Brown's tendon sheath syndrome""], ['Internuclear ophthalmoplegia'], ['disorder of eye movements', 'eye movement disorder', 'ocular motility disease'], ['ophthalmoplegia', 'oculomotor paralysis', 'Total ophthalmoplegia'], ['Internuclear ophthalmoplegia'], ['internuclear ophthalmoplegia']]"
"[1, 0]","[[""Richter's syndrome"", 'Richter syndrome'], ['CLL', 'B-cell chronic lymphoid leukemia', 'B-cell chronic lymphocytic leukemia', 'chronic lymphocytic leukemia', 'chronic lymphatic leukemia']]"
[2],"[['Sexual Sadism', 'Sadism'], ['sexual sadism'], ['Histidine Carboxy-Lyase', 'Histidine Decarboxylase']]"
[0],"[['hypersensitivity vasculitis'], ['anti-glomerular basement membrane disease', 'Goodpasture syndrome', 'anti-GBM disease'], ['Henoch-Sch@nlein purpura', 'Allergic purpura', 'Henoch-Schoenlein purpura', 'Henoch-Sch?nlein purpura', 'Autoimmune purpura'], ['IgA nephropathy', 'IGA glomerulonephritis', ""Berger's IgA or IgG nephropathy"", 'IgA glomerulonephritis', 'Focal Glomerulonephritis']]"
[1],"[['Retinal vasculitis', 'retinal vasculitis'], ['Testicular Hormones'], ['Retinal Vasculitis', 'Vasculitis, Retinal']]"
"[1, 0]","[['polyradiculopathy', 'Polyradiculopathy'], ['Cauda equina syndrome']]"
[0],"[['Thyroid insufficiency', 'hypothyroidism', 'Thyroid deficiency'], ['Myxedema'], ['myxedema']]"
[0],"[['Coital incontinence'], ['Other optic neuritis'], ['optic neuritis']]"
[2],"[['ulnar nerve lesion', 'Lesion of ulnar nerve'], ['ulnar neuropathy', 'Ulnar neuropathy'], ['Severe Rectal Dysplasia', 'carcinoma in situ of rectum', 'rectum carcinoma in situ', 'Severe dysplasia of rectum']]"
"[1, 0]","[['Retinal dialysis', 'retinal perforation', 'Retinal tear', 'Retinal break'], ['macular holes', 'Macular hole']]"
"[1, 0]","[['locked-in syndrome', 'Locked in syndrome', 'Locked-in state'], ['tetraplegia', 'quadriplegia']]"
"[1, 0]","[['Typhoid', 'typhoid fever'], ['Atropine Sulfate Anhydrous', 'AtroPen', 'Atropine', 'Atropinol', 'Atropine Sulfate', 'Atropin Augenöl']]"
"[1, 0]","[['vaginal Mullerian papilloma', 'vaginal Muellerian papilloma'], ['Lethal Midline Granuloma', 'Polymorphic Reticulosis', 'Granuloma Gangraenescens', 'Granuloma, Lethal Midline']]"
"[1, 0]","[['Penile Lichen Sclerosus', 'balanitis xerotica obliterans'], ['Kraurosis of penis', 'leukoplakia of penis', 'Penile Leukoplakia']]"
"[1, 0]","[['infarct of liver', 'hepatic infarction'], ['Hepatic Glycogen', 'Liver Glycogen']]"
"[1, 0]","[['obsolete acute psychogenic paranoid psychosis', 'acute paranoid reaction'], ['Association, Free', 'Free Association']]"
"[1, 0]","[['Ovarian streak', '46, XX with streak gonads'], ['ovarian dysgenesis', '46 XX gonadal dysgenesis']]"
[1],"[['Foster-Kennedy syndrome'], ['optic nerve disease', 'optic nerve disorder', 'disorder of the second nerve', 'optic neuropathy'], ['Foster-Kennedy syndrome']]"
"[1, 0]","[['breast angiomatosis'], ['Mammography, Ultrasound', 'Mammary Ultrasonography', 'Ultrasound Mammography', 'Ultrasonography, Breast', 'Ultrasonic Mammography', 'Breast Ultrasonography', 'Mammography, Ultrasonic', 'Ultrasonography, Mammary']]"
"[1, 0]","[['cherubism'], ['bone spur', 'osteophyte', 'bony outgrowth', 'orbital exostosis', 'exostosis']]"
[3],"[[""Ménière's Vertigo"", ""Meniere's Disease"", 'Ménière Disease', ""Ménière's Disease"", 'Aural Vertigo', 'Auditory Vertigo', 'Otogenic Vertigo', 'Vertigo, Aural', ""Meniere's Syndrome"", 'Meniere Disease'], [""Paget's disease of vulva"", ""vulval Paget's disease"", 'vulval Paget disease', ""Vulval Paget's disease"", ""Vulvar Paget's disease""], ['Otogenic vertigo', ""Mnire's vertigo"", 'Meniere disease', ""Meniere's disease""], ['endolymphatic hydrops', 'labyrinthine hydrops']]"
[0],"[['Seasonal Variation', 'Seasons'], ['Atrophy of prostate'], ['atrophy of prostate']]"
"[1, 0]","[['gallbladder papillomatosis'], ['Terminology as Topic', 'Nomenclature as Topic', 'Etymology']]"
"[1, 0]","[['mixed-type liposarcoma'], ['mixed type thymoma', 'Thymoma, mixed type']]"
[0],"[['Monascus', 'Monascus purpureus'], ['pleomorphic liposarcoma', 'Pleomorphic liposarcoma', 'Pleomorphic Liposarcoma'], ['liposarcoma']]"
"[2, 1, 0]","[['Photorefractive Keratectomy'], ['osteosclerotic myeloma'], ['Retrobulbar Hemorrhage', 'Hemorrhage, Retrobulbar'], ['Isolated osseous plasmacytoma', 'Solitary plasmacytoma of bone', 'solitary osseous plasmacytoma'], ['Oedipus Complex']]"
[2],"[['Myasthenia gravis NOS', 'Myasthenia gravis without (acute) exacerbation'], ['Laceration of ovary'], ['Rhabdomyosarcoma of Ovary', 'ovary rhabdomyosarcoma']]"
[1],"[['obsolete lymphosarcoma involving spleen'], ['deep keratitis'], ['deep angioma']]"
"[1, 0]","[['pleuropulmonary blastoma', 'Pleuropulmonary blastoma'], ['Post-traumatic osteoarthritis, unspecified site', 'Post-traumatic osteoarthritis NOS']]"
"[1, 0]","[['esophageal adenoid cystic carcinoma', 'adenoid cystic carcinoma, esophagus'], ['esophageal leukoplakia', 'Leukoplakia of esophagus']]"
"[1, 0]","[['AntiAndrogens, Nonsteroidal', 'Nonsteroidal Anti-Androgens', 'Nonsteroidal Antiandrogens'], ['obsolete leptomeningeal neoplasm', 'tumor of leptomeninges']]"
[0],"[['Cellular Structures', 'Cell Components'], ['mechanical strabismus'], ['Other strabismus'], ['Mechanical strabismus'], ['hypertropia'], ['strabismus'], ['Other strabismus']]"
"[1, 0]","[['Papillary Syringadenoma', 'Papillary syringadenoma', 'Syringocystadenoma papilliferum', 'syringocystadenoma papilliferum'], ['papillary hidradenoma']]"
"[1, 0]","[['obsolete secondary myelofibrosis'], ['Secondary syphilitic hepatitis']]"
[3],"[['Hypervitaminosis D'], ['Hypervitaminosis D'], ['hypervitaminosis D'], ['flying phobia']]"
"[1, 0]","[['meningioma of Diaphragm Sellae', 'diaphragma sellae meningioma'], ['Ralstonia pickettii']]"
[2],"[['female stress incontinence', 'female urinary stress incontinence', 'Stress incontinence - female'], ['Stress incontinence'], ['Protein Aggregates'], ['Fecal Incontinence']]"
"[1, 0]","[['cranial pseudosarcomatous fasciitis'], ['Rupture of synovium, ankle, foot and toes']]"
[0],"[['Thrombosis, Coronary', 'Coronary Thrombosis'], ['Coronary Angiography', 'Angiography, Coronary'], ['early invasive cervical adenocarcinoma']]"
"[1, 0]","[['Spin Trapping'], ['benign neurilemmoma']]"
"[1, 0]","[['Keratoconjunctivitis due to adenovirusH19.2', 'Shipyard eye', 'Epidemic keratoconjunctivitis'], ['eye degenerative disease']]"
[2],"[['Borderline lepromatous leprosy', 'BL leprosy'], ['Borderline lepromatous leprosy', 'BL leprosy'], ['Sulfonphthal', 'Phenolsulfonphthalein', 'Sulphental', 'Phenol Red', 'Sulphonthal']]"
[2],"[['Syphilitic aneurysm of aorta'], ['Aortic aneurysm and dissection', 'traumatic aortic aneurysm', 'aortic ectasia'], ['Other injury of abdominal aorta'], ['Aneurysm of aorta in diseases classified elsewhere', 'syphilitic aneurysm']]"
[3],"[['sequelae of trachomaB94.0', 'Trachoma'], ['Trachoma', 'sequelae of trachoma'], ['Sequelae of trachoma'], ['Cystic fibrosis'], ['Sequelae of trachoma']]"
"[1, 0]","[['Viral endocarditis'], ['Xray Intensifying Screens', 'Radiographic Intensifying Screens', 'Screen-Film Systems, X-Ray', 'X-Ray Intensifying Screens', 'Film-Screen Systems, X-Ray', 'X-Ray Film-Screen Systems', 'Screens, Radiographic Intensifying']]"
[5],"[['Pulmonary cryptococcosis'], ['Family history of blindness and visual loss', 'Conditions classifiable to H54.-'], ['Pulmonary cryptococcosis'], ['Family history of blindness and visual loss', 'Conditions classifiable to H54.-'], ['family history of blindness and visual lossConditions classifiable to H00-H53, H55-H59', 'Family history of eye disorders', 'family history of blindness and visual loss', 'Conditions classifiable to H00-H53, H55-H59'], ['Pulmonary tularaemia']]"
"[1, 0]","[['Unspecified cystostomy status'], ['Myeloid leukemia, unspecified']]"
[0],"[['Extrapyramidal Tracts'], ['Major histocompatibility complex class II deficiency'], ['Major histocompatibility complex class II deficiency']]"
[2],"[['Drug-induced hypopituitarism'], ['Drug-induced hypopituitarism'], ['Drug induced constipation']]"
[4],"[['Hereditary erythropoietic porphyria', 'Erythropoietic protoporphyria', 'Congenital erythropoietic porphyria'], ['Persistent cloaca', 'Cloaca NOS'], ['congenital erythropoietic porphyria', 'Other congenital malformations of skin', 'Sturge-Weber (-Dimitri) syndrome'], ['cloaca', 'Congenital rectovaginal fistula'], ['Bifidobacterium breve'], ['Hereditary erythropoietic porphyriaErythropoietic protoporphyria', 'Hereditary erythropoietic porphyria', 'Erythropoietic protoporphyria', 'Congenital erythropoietic porphyria'], ['Persistent cloaca', 'Cloaca NOS'], ['congenital rectovaginal fistula', 'pilonidal fistula or sinus', 'Congenital fistula of rectum and anus']]"
"[1, 0]","[['Thyrotoxicosis [hyperthyroidism]', 'neonatal thyrotoxicosisP72.1', 'chronic thyroiditis with transient thyrotoxicosisE06.2'], ['Other stimulant dependence with other stimulant-induced disorder']]"
"[1, 0]","[['Inhalant use, unspecified with intoxication, uncomplicated'], ['Displaced fracture of neck of unspecified radius']]"
"[1, 0]","[['Opsonins', 'Opsonin Proteins'], ['Fear of thunderstorms']]"
[1],"[['Fear'], ['Olive Oil', 'Olive Oils'], ['Fear of injury']]"
[0],"[['Epithelial-Mesenchymal Transformation', 'Epithelial-Mesenchymal Transition'], ['Narcolepsy and cataplexy'], ['Narcolepsy with cataplexy'], ['Narcolepsy and cataplexy']]"
"[1, 0]","[['Myopathy of extraocular muscles, bilateral'], ['Paraplegia, complete']]"
"[1, 0]","[['Fluid Shifts'], ['Filamentary keratitis, right eye']]"
"[1, 0]","[['Corneal abscess, right eye'], ['Trigeminal Nuclear Complex', 'Trigeminal Nuclei']]"
"[1, 0]","[['Pannus (corneal), bilateral'], ['Corneal ectasia, bilateral']]"
"[1, 0]","[['Tympanosclerosis, right ear'], ['Cauliflower ear, right ear']]"
"[1, 0]","[['Otalgia, left ear'], ['Cauliflower ear, left ear']]"
"[1, 0]","[['Dissection of aorta'], ['Androstenols', 'Hydroxyandrostenes']]"
"[1, 0]","[['Acquired clubhand, right hand'], ['Fibrous dysplasia (monostotic), right lower leg']]"
"[1, 0]","[['Chronic idiopathic myelofibrosis', 'Osteomyelofibrosis', 'Myelosclerosis (megakaryocytic) with myeloid metaplasia', 'acute myelofibrosisC94.4', 'Myelofibrosis (idiopathic) (with myeloid metaplasia)', 'Secondary myelofibrosis in myeloproliferative disease'], ['Chronic kidney disease, stage 4 (severe)']]"
[2],"[['Habropetalum', 'Dioncophyllum', 'Dioncophyllaceae', 'Triphyophyllum'], ['Subluxation of symphysis (pubis) in pregnancy'], ['Spherocytosis, Hereditary'], ['Subluxation of symphysis (pubis) in pregnancy, first trimester']]"
"[1, 0]","[['Prolonged second stage (of labor)'], ['Struck by orca']]"
[2],"[['Neonatal hypertension'], ['Neonatal hypertension'], ['Myoporum', 'Boobialla']]"
[0],"[['Congenital fusion of ribs', 'Congenital malformation of ribs NOSCongenital absence of rib', 'Congenital absence of rib', 'Other congenital malformations of ribs'], ['Asphyxiating thoracic dysplasia [Jeune]', 'Short rib syndrome'], ['Asphyxiating thoracic dysplasia [Jeune]', 'Short rib syndrome']]"
"[1, 0]","[['Periumbilical pain'], ['Catecholamines', 'Sympathins']]"
"[1, 0]","[['Visuospatial deficit'], ['Neurologic neglect syndromeHemi-inattention', 'Left-sided neglect', 'Hemi-inattention', 'Neurologic neglect syndrome']]"
[2],"[[""Colles' Fracture""], [""Colles' fracture""], ['Osteoporotic Fractures']]"
[1],"[['Toxic effects of dichloromethane'], ['Toxic effects of trichloroethylene'], ['Toxic effects of dichloromethane', 'Toxic effects of methylene chloride']]"
[1],"[['Imprisonment and other incarceration'], ['Displacement of implanted urinary sphincter'], ['Imprisonment and other incarceration']]"
"[1, 0]","[['Olive, Russian', 'Buffaloberry', 'Elaeagnaceae', 'Elaeagnus', 'Shepherdia'], ['Bitten by parrot']]"
"[1, 0]","[['Wakefulness'], ['Activity, water skiing and wake boarding']]"
"[1, 0]","[['Strychnine Nitrate', 'Strychnine'], ['Activity, golf']]"
"[1, 0]","[['Activity, rough housing and horseplay'], ['Activity, volleyball (beach) (court)']]"
"[1, 0]","[['Aeromonas hydrophila'], ['Exercise counseling']]"
"[1, 0]","[['Voluntary Health Agencies'], ['Other specified health status']]"
