ID,Syn
"2,xref,DOID:40056,DOID:40046","[""""""chromium allergic contact dermatitis""""""],[""""""nickel allergic contact dermatitis"""""",""""""allergic contact dermatitis to Ni""""""]"
"2,xref,DOID:40098,DOID:14482","[""""""pemphigus gestationis""""""],[""""""herpes gestationis"""""",""""""Gestational herpes"""""",""""""pemphigoid gestationis""""""]"
"2,xref,DOID:40099,DOID:9540","[""""""livedoid vasculitis"""""",""""""livedoid vasculopathy""""""],[""""""vascular skin disease""""""]"
"2,xref,DOID:50004,DOID:10400","[""""""seminal vesicle acute gonorrhea""""""],[""""""gonococcal seminal vesiculitis"""""",""""""Gonococcal seminal vesiculitis"""""",""""""Gonorrhea of seminal vesicle""""""]"
"6,xref,DOID:1563,DOID:13902,DOID:50133,DOID:4336,DOID:12711,DOID:8913","[""""""dermatomycosis""""""],[""""""White piedra"""""",""""""white piedra"""""",""""""Tinea blanca""""""],[""""""piedra"""""",""""""superficial mycosis"""""",""""""Steroid-modified tinea infection""""""],[""""""tinea favosa"""""",""""""favus""""""],[""""""black piedra""""""],[""""""dermatophytosis""""""]"
"2,xref,DOID:50138,DOID:4976","[""""""podoconiosis""""""],[""""""Elephantiasis"""""",""""""elephantiasis""""""]"
"2,xref,DOID:3240,DOID:50152","[""""""Mendelson's Syndrome"""""",""""""aspiration pneumonitis"""""",""""""Chemical pneumonitis""""""],[""""""aspiration pneumonia""""""]"
"4,xref,DOID:2797,DOID:50156,DOID:3770,DOID:2800","[""""""Diffuse idiopathic pulmonary fibrosis"""""",""""""Idiopathic fibrosing alveolitis"""""",""""""IPF"""""",""""""idiopathic interstitial pneumonia""""""],[""""""FIBROCYSTIC PULMONARY DYSPLASIA"""""",""""""idiopathic pulmonary fibrosis"""""",""""""IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL"""""",""""""cryptogenic fibrosing alveolitis""""""],[""""""pulmonary fibrosis"""""",""""""Fibrosis of lung""""""],[""""""Idiopathic pulmonary fibrosis, acute fatal form"""""",""""""Hamman-Rich disease"""""",""""""AIP"""""",""""""acute interstitial pneumonia"""""",""""""Hamman-Rich syndrome"""""",""""""accelerated interstitial pneumonia""""""]"
"2,xref,DOID:974,DOID:50161","[""""""upper respiratory tract disease""""""],[""""""lower respiratory tract disease""""""]"
"2,xref,DOID:50166,DOID:2148","[""""""tuberculous salpingitis""""""],[""""""tuberculous oophoritis""""""]"
"8,xref,DOID:70124,DOID:70123,DOID:70128,DOID:70127,DOID:70126,DOID:70125,DOID:50328,DOID:111140","[""""""congenital hypothyroidism due to thyroid dysgenesis or hypoplasia"""""",""""""congenital nongoitrous hypothyroidism 2"""""",""""""CHNG2""""""],[""""""isolated thyrotropin deficiency"""""",""""""CHNG4"""""",""""""congenital nongoitrous hypothyroidism 4""""""],[""""""congenital nongoitrous hypothyroidism 6"""""",""""""CHNG6""""""],[""""""congenital nongoitrous hypothyroidism 3"""""",""""""CHNG3""""""],[""""""TSH resistance"""""",""""""CHNG1"""""",""""""congenital nongoitrous hypothyroidism 1""""""],[""""""congenital nongoitrous hypothyroidism 5"""""",""""""CHNG5""""""],[""""""congenital hypothyroidism""""""],[""""""central hypothyroidism and testicular enlargement"""""",""""""IGSF1 deficiency syndrome"""""",""""""X-linked central congenital hypothyroidism with late-onset testicular enlargement"""""",""""""X-linked central congenital hypothyroidism with late-onset macroorchidism"""""",""""""CHTE""""""]"
