ID,Syn
"DOID: 60000,BlockL1-DB1","['appendix disease'],['Diseases of appendix']"
"DOID: 13185,Mesh:D045723","['esophageal diverticulosis'],['Esophageal Diverticulosis','Diverticulosis, Esophageal']"
"DOID: 11151,Mesh:D041761","['cholecystolithiasis'],['Cholecystolithiasis']"
"DC11,Mesh:D002769,DOID: 10211","['Cholelithiasis'],['Cholelithiasis'],['cholelithiasis']"
"DC10.1,DOID: 9717","['Hydrops of gallbladder'],['hydrops of gallbladder']"
"DOID: 9741,Mesh:D001660","['biliary tract disease'],['Biliary Tract Diseases']"
"DC13,DOID: 9446,Mesh:D002761","['Cholangitis'],['cholangitis'],['Cholangitis']"
"DB96.2,DOID: 0060643","['Primary sclerosing cholangitis'],['primary sclerosing cholangitis']"
"DOID: 0070227,DOID: 1852","['intrahepatic cholestasis of pregnancy'],['intrahepatic cholestasis','intrahepatic cholestasis of pregnancy']"
"Mesh:D003137,DOID: 4137","['Common Bile Duct Diseases'],['common bile duct disease']"
"Mesh:D001655,DOID: 12237","['Bile Reflux'],['bile reflux']"
"DC14.1,DOID: 9740","['Postcholecystectomy syndrome'],['postcholecystectomy syndrome']"
"Mesh:D006530,DOID: 11823,DB99.2","['Hepatorenal Syndrome'],['hepatorenal syndrome'],['Hepatorenal syndrome']"
"DOID: 5295,Mesh:D007410","['intestinal disease'],['Intestinal Diseases']"
"DOID: 3877,Mesh:D003109","['functional colonic disease'],['Functional Colonic Diseases','Colonic Diseases, Functional']"
"DOID: 1770,DB32.20,Mesh:D008532","['toxic megacolon'],['Toxic megacolon'],['Toxic Megacolon','Megacolon, Toxic']"
"DOID: 7475,Mesh:D004238","['diverticulitis'],['Diverticulitis']"
"DOID: 3558,Mesh:D004380","['duodenal obstruction'],['Duodenal Obstruction']"
"DOID: 0050589,Mesh:D015212,BlockL1-DD7","['inflammatory bowel disease'],['Inflammatory Bowel Diseases','Bowel Diseases, Inflammatory'],['Inflammatory bowel diseases']"
"Mesh:D003092,DOID: 0060180","['Colitis'],['colitis']"
"DOID: 0060187,DB33.3","['diversion colitis'],['Diversion colitis']"
"DOID: 0060181,Mesh:D017091","['ischemic colitis'],['Colitis, Ischemic','Ischemic Colitis']"
"DB33.1,Mesh:D046728,DOID: 0060182","['Microscopic colitis'],['Colitis, Microscopic','Microscopic Colitis'],['microscopic colitis']"
"Mesh:D046729,DOID: 0060183,DB33.10","['Collagenous Colitis','Colitis, Collagenous'],['collagenous colitis'],['Collagenous colitis']"
"DOID: 0060184,DB33.11,Mesh:D046730","['lymphocytic colitis'],['Lymphocytic colitis'],['Lymphocytic Colitis','Colitis, Lymphocytic']"
"DD71.1,DOID: 8577","['Left sided ulcerative colitis'],['ulcerative colitis','Left-sided ulcerative colitis']"
"DOID: 0060320,DD51","['inguinal hernia'],['Inguinal hernia']"
